iter	RMSE
0	14.69537772
1	14.6134454
2	14.5254175
3	14.44353935
4	14.36113291
5	14.28287719
6	14.1944968
7	14.11267024
8	14.035006
9	13.95600504
10	13.87165288
11	13.79307038
12	13.72047086
13	13.63530981
14	13.55619198
15	13.47398135
16	13.39827702
17	13.31776571
18	13.23777554
19	13.17297813
20	13.09981293
21	13.02280435
22	12.95393327
23	12.87703833
24	12.80869853
25	12.73560887
26	12.66547243
27	12.59765114
28	12.53024138
29	12.45322282
30	12.38040804
